
Host: kappa

Timers On : Fri Jul 29 10:05:57 2022
Timers Off: Fri Jul 29 10:06:35 2022

Wall Time:       37.79 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.517u      0.000s      0.315w      9 calls
Libint2ERI::Libint2ERI              :      1.217u      0.000s      0.743w     61 calls
DFH: initialize()                   :      2.533u      0.033s      1.609w      9 calls
DFH: AO Construction                :      1.383u      0.017s      0.859w      9 calls
DFH: AO-Met. Contraction            :      0.333u      0.000s      0.197w      9 calls
HF: Form core H                     :      0.117u      0.000s      0.371w      8 calls
HF: Form S/X                        :      0.017u      0.000s      0.014w      8 calls
HF: Guess                           :      0.317u      0.017s      0.183w      8 calls
SAD Guess                           :      0.300u      0.017s      0.176w      3 calls
HF: Form G                          :      0.867u      0.017s      0.668w     97 calls
JK: D                               :      0.000u      0.000s      0.005w    113 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w    113 calls
JK: JK                              :      6.333u      0.017s      3.939w    113 calls
DFH: compute_JK()                   :      6.333u      0.017s      3.939w    113 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    113 calls
DFH: compute_J                      :      1.417u      0.000s      0.916w    113 calls
DFH: compute_K                      :      4.900u      0.017s      3.004w    113 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    113 calls
HF: Form F                          :      0.000u      0.000s      0.002w     97 calls
HF: Form D                          :      0.000u      0.000s      0.002w     97 calls
HF: DIIS                            :      0.183u      0.000s      0.242w     94 calls
DIISManager::add_entry              :      0.033u      0.000s      0.170w     89 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.020w     89 calls
bMatrix setup                       :      0.017u      0.000s      0.008w     89 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.005w     89 calls
New vector                          :      0.000u      0.000s      0.007w     89 calls
HF: Form C                          :      0.300u      0.000s      0.086w     94 calls
Grad: V T Perturb                   :      0.500u      0.050s      0.339w      7 calls
Grad: S                             :      0.000u      0.000s      0.009w      7 calls
Grad: JK                            :      5.617u      0.083s      4.800w      7 calls
JKGrad: Amn                         :      1.433u      0.017s      0.892w      7 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      7 calls
JKGrad: AB                          :      0.350u      0.033s      0.224w      7 calls
JKGrad: UV                          :      0.033u      0.017s      0.017w      7 calls
JKGrad: ABx                         :      0.183u      0.000s      0.100w      7 calls
JKGrad: Amnx                        :      3.600u      0.017s      2.197w      7 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.800u      0.083s      0.538w      1 calls
Hess: T                             :      0.000u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :     10.300u      0.067s      6.220w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.517u      0.000s      0.315w      9 calls
| Libint2ERI::Libint2ERI            :      0.317u      0.000s      0.203w      9 calls
DFH: initialize()                   :      2.533u      0.033s      1.609w      9 calls
| Libint2ERI::Libint2ERI            :      0.333u      0.000s      0.194w     18 calls
| DFH: AO Construction              :      1.383u      0.017s      0.859w      9 calls
| DFH: AO-Met. Contraction          :      0.333u      0.000s      0.197w      9 calls
HF: Form core H                     :      0.117u      0.000s      0.371w      8 calls
HF: Form S/X                        :      0.017u      0.000s      0.014w      8 calls
HF: Guess                           :      0.317u      0.017s      0.183w      8 calls
| SAD Guess                         :      0.300u      0.017s      0.176w      3 calls
HF: Form G                          :      0.867u      0.017s      0.668w     97 calls
| JK: D                             :      0.000u      0.000s      0.002w     97 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     97 calls
| JK: JK                            :      0.850u      0.017s      0.658w     97 calls
| | DFH: compute_JK()               :      0.850u      0.017s      0.658w     97 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     97 calls
| | | DFH: compute_J                :      0.183u      0.000s      0.171w     97 calls
| | | DFH: compute_K                :      0.650u      0.017s      0.472w     97 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     97 calls
HF: Form F                          :      0.000u      0.000s      0.002w     97 calls
HF: Form D                          :      0.000u      0.000s      0.002w     97 calls
HF: DIIS                            :      0.183u      0.000s      0.242w     94 calls
| DIISManager::add_entry            :      0.033u      0.000s      0.170w     89 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.020w     89 calls
| | bMatrix setup                   :      0.017u      0.000s      0.008w     89 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.005w     89 calls
| | New vector                      :      0.000u      0.000s      0.007w     89 calls
HF: Form C                          :      0.300u      0.000s      0.086w     94 calls
Grad: V T Perturb                   :      0.500u      0.050s      0.339w      7 calls
Grad: S                             :      0.000u      0.000s      0.009w      7 calls
Grad: JK                            :      5.617u      0.083s      4.800w      7 calls
| JKGrad: Amn                       :      1.433u      0.017s      0.892w      7 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.000s      0.150w      7 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      7 calls
| JKGrad: AB                        :      0.350u      0.033s      0.224w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      7 calls
| JKGrad: UV                        :      0.033u      0.017s      0.017w      7 calls
| JKGrad: ABx                       :      0.183u      0.000s      0.100w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      7 calls
| JKGrad: Amnx                      :      3.600u      0.017s      2.197w      7 calls
| | Libint2ERI::Libint2ERI          :      0.233u      0.000s      0.151w      7 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.800u      0.083s      0.538w      1 calls
Hess: T                             :      0.000u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :     10.300u      0.067s      6.220w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      3 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.022w      3 calls
JK: D                               :      0.000u      0.000s      0.003w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     16 calls
JK: JK                              :      5.483u      0.000s      3.281w     16 calls
| DFH: compute_JK()                 :      5.483u      0.000s      3.281w     16 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     16 calls
| | DFH: compute_J                  :      1.233u      0.000s      0.745w     16 calls
| | DFH: compute_K                  :      4.250u      0.000s      2.531w     16 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls

**************************************************************************************

Host: kappa

Timers On : Fri Jul 29 10:33:10 2022
Timers Off: Fri Jul 29 10:33:47 2022

Wall Time:       36.57 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.483u      0.000s      0.304w      9 calls
Libint2ERI::Libint2ERI              :      1.200u      0.000s      0.710w     61 calls
DFH: initialize()                   :      2.467u      0.083s      1.636w      9 calls
DFH: AO Construction                :      1.383u      0.017s      0.863w      9 calls
DFH: AO-Met. Contraction            :      0.300u      0.000s      0.194w      9 calls
HF: Form core H                     :      0.133u      0.000s      0.358w      8 calls
HF: Form S/X                        :      0.017u      0.000s      0.007w      8 calls
HF: Guess                           :      0.283u      0.000s      0.173w      8 calls
SAD Guess                           :      0.267u      0.000s      0.166w      3 calls
HF: Form G                          :      0.883u      0.033s      0.612w     97 calls
JK: D                               :      0.000u      0.000s      0.005w    113 calls
JK: USO2AO                          :      0.017u      0.000s      0.002w    113 calls
JK: JK                              :      5.867u      0.033s      3.612w    113 calls
DFH: compute_JK()                   :      5.867u      0.033s      3.611w    113 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    113 calls
DFH: compute_J                      :      1.150u      0.033s      0.738w    113 calls
DFH: compute_K                      :      4.683u      0.000s      2.856w    113 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    113 calls
HF: Form F                          :      0.000u      0.000s      0.002w     97 calls
HF: Form D                          :      0.017u      0.000s      0.001w     97 calls
HF: DIIS                            :      0.200u      0.000s      0.253w     94 calls
DIISManager::add_entry              :      0.033u      0.000s      0.183w     89 calls
DIISManager::extrapolate            :      0.050u      0.000s      0.020w     89 calls
bMatrix setup                       :      0.017u      0.000s      0.008w     89 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.004w     89 calls
New vector                          :      0.033u      0.000s      0.007w     89 calls
HF: Form C                          :      0.150u      0.000s      0.084w     94 calls
Grad: V T Perturb                   :      0.500u      0.033s      0.323w      7 calls
Grad: S                             :      0.033u      0.000s      0.009w      7 calls
Grad: JK                            :      5.600u      0.067s      4.302w      7 calls
JKGrad: Amn                         :      1.450u      0.017s      0.892w      7 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      7 calls
JKGrad: AB                          :      0.333u      0.017s      0.220w      7 calls
JKGrad: UV                          :      0.017u      0.000s      0.016w      7 calls
JKGrad: ABx                         :      0.167u      0.000s      0.092w      7 calls
JKGrad: Amnx                        :      3.600u      0.017s      2.164w      7 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.717u      0.117s      0.508w      1 calls
Hess: T                             :      0.017u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.583u      0.050s      5.796w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.483u      0.000s      0.304w      9 calls
| Libint2ERI::Libint2ERI            :      0.333u      0.000s      0.193w      9 calls
DFH: initialize()                   :      2.467u      0.083s      1.636w      9 calls
| Libint2ERI::Libint2ERI            :      0.300u      0.000s      0.184w     18 calls
| DFH: AO Construction              :      1.383u      0.017s      0.863w      9 calls
| DFH: AO-Met. Contraction          :      0.300u      0.000s      0.194w      9 calls
HF: Form core H                     :      0.133u      0.000s      0.358w      8 calls
HF: Form S/X                        :      0.017u      0.000s      0.007w      8 calls
HF: Guess                           :      0.283u      0.000s      0.173w      8 calls
| SAD Guess                         :      0.267u      0.000s      0.166w      3 calls
HF: Form G                          :      0.883u      0.033s      0.612w     97 calls
| JK: D                             :      0.000u      0.000s      0.002w     97 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     97 calls
| JK: JK                            :      0.883u      0.033s      0.603w     97 calls
| | DFH: compute_JK()               :      0.883u      0.033s      0.603w     97 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     97 calls
| | | DFH: compute_J                :      0.217u      0.033s      0.150w     97 calls
| | | DFH: compute_K                :      0.633u      0.000s      0.439w     97 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     97 calls
HF: Form F                          :      0.000u      0.000s      0.002w     97 calls
HF: Form D                          :      0.017u      0.000s      0.001w     97 calls
HF: DIIS                            :      0.200u      0.000s      0.253w     94 calls
| DIISManager::add_entry            :      0.033u      0.000s      0.183w     89 calls
| DIISManager::extrapolate          :      0.050u      0.000s      0.020w     89 calls
| | bMatrix setup                   :      0.017u      0.000s      0.008w     89 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.004w     89 calls
| | New vector                      :      0.033u      0.000s      0.007w     89 calls
HF: Form C                          :      0.150u      0.000s      0.084w     94 calls
Grad: V T Perturb                   :      0.500u      0.033s      0.323w      7 calls
Grad: S                             :      0.033u      0.000s      0.009w      7 calls
Grad: JK                            :      5.600u      0.067s      4.302w      7 calls
| JKGrad: Amn                       :      1.450u      0.017s      0.892w      7 calls
| | Libint2ERI::Libint2ERI          :      0.233u      0.000s      0.144w      7 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      7 calls
| JKGrad: AB                        :      0.333u      0.017s      0.220w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      7 calls
| JKGrad: UV                        :      0.017u      0.000s      0.016w      7 calls
| JKGrad: ABx                       :      0.167u      0.000s      0.092w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      7 calls
| JKGrad: Amnx                      :      3.600u      0.017s      2.164w      7 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.000s      0.145w      7 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.717u      0.117s      0.508w      1 calls
Hess: T                             :      0.017u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.583u      0.050s      5.796w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      3 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.021w      3 calls
JK: D                               :      0.000u      0.000s      0.003w     16 calls
JK: USO2AO                          :      0.017u      0.000s      0.002w     16 calls
JK: JK                              :      4.983u      0.000s      3.009w     16 calls
| DFH: compute_JK()                 :      4.983u      0.000s      3.008w     16 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     16 calls
| | DFH: compute_J                  :      0.933u      0.000s      0.587w     16 calls
| | DFH: compute_K                  :      4.050u      0.000s      2.417w     16 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls

**************************************************************************************

Host: kappa

Timers On : Fri Jul 29 10:36:32 2022
Timers Off: Fri Jul 29 10:37:15 2022

Wall Time:       43.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.467u      0.000s      0.306w      9 calls
Libint2ERI::Libint2ERI              :      1.200u      0.000s      0.715w     61 calls
DFH: initialize()                   :      2.550u      0.033s      1.582w      9 calls
DFH: AO Construction                :      1.417u      0.000s      0.839w      9 calls
DFH: AO-Met. Contraction            :      0.333u      0.000s      0.194w      9 calls
HF: Form core H                     :      0.100u      0.033s      0.727w      8 calls
HF: Form S/X                        :      0.000u      0.000s      0.007w      8 calls
HF: Guess                           :      0.300u      0.000s      0.174w      8 calls
SAD Guess                           :      0.267u      0.000s      0.168w      3 calls
HF: Form G                          :      0.967u      0.017s      0.608w     97 calls
JK: D                               :      0.017u      0.000s      0.005w    113 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    113 calls
JK: JK                              :      6.033u      0.017s      3.647w    113 calls
DFH: compute_JK()                   :      6.033u      0.017s      3.646w    113 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    113 calls
DFH: compute_J                      :      1.350u      0.017s      0.792w    113 calls
DFH: compute_K                      :      4.683u      0.000s      2.836w    113 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    113 calls
HF: Form F                          :      0.000u      0.000s      0.002w     97 calls
HF: Form D                          :      0.000u      0.000s      0.002w     97 calls
HF: DIIS                            :      0.167u      0.000s      0.350w     94 calls
DIISManager::add_entry              :      0.017u      0.000s      0.279w     89 calls
DIISManager::extrapolate            :      0.067u      0.000s      0.021w     89 calls
bMatrix setup                       :      0.017u      0.000s      0.008w     89 calls
bMatrix pseudoinverse               :      0.033u      0.000s      0.004w     89 calls
New vector                          :      0.017u      0.000s      0.007w     89 calls
HF: Form C                          :      0.133u      0.000s      0.085w     94 calls
Grad: V T Perturb                   :      0.500u      0.033s      0.326w      7 calls
Grad: S                             :      0.017u      0.000s      0.009w      7 calls
Grad: JK                            :      5.567u      0.050s      6.729w      7 calls
JKGrad: Amn                         :      1.450u      0.000s      0.876w      7 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      7 calls
JKGrad: AB                          :      0.333u      0.017s      0.222w      7 calls
JKGrad: UV                          :      0.033u      0.000s      0.016w      7 calls
JKGrad: ABx                         :      0.133u      0.000s      0.094w      7 calls
JKGrad: Amnx                        :      3.600u      0.017s      2.161w      7 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.717u      0.133s      0.507w      1 calls
Hess: T                             :      0.000u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.583u      0.050s      5.784w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.467u      0.000s      0.306w      9 calls
| Libint2ERI::Libint2ERI            :      0.300u      0.000s      0.194w      9 calls
DFH: initialize()                   :      2.550u      0.033s      1.582w      9 calls
| Libint2ERI::Libint2ERI            :      0.350u      0.000s      0.186w     18 calls
| DFH: AO Construction              :      1.417u      0.000s      0.839w      9 calls
| DFH: AO-Met. Contraction          :      0.333u      0.000s      0.194w      9 calls
HF: Form core H                     :      0.100u      0.033s      0.727w      8 calls
HF: Form S/X                        :      0.000u      0.000s      0.007w      8 calls
HF: Guess                           :      0.300u      0.000s      0.174w      8 calls
| SAD Guess                         :      0.267u      0.000s      0.168w      3 calls
HF: Form G                          :      0.967u      0.017s      0.608w     97 calls
| JK: D                             :      0.000u      0.000s      0.002w     97 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     97 calls
