
Host: kappa

Timers On : Sun Jul 31 15:10:12 2022
Timers Off: Sun Jul 31 15:14:57 2022

Wall Time:      284.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      3.000u      0.017s      1.808w      9 calls
Libint2ERI::Libint2ERI              :      7.333u      0.017s      4.409w     61 calls
DFH: initialize()                   :     14.050u      0.133s      8.674w      9 calls
DFH: AO Construction                :      8.117u      0.033s      4.918w      9 calls
DFH: AO-Met. Contraction            :      2.417u      0.050s      1.476w      9 calls
HF: Form core H                     :      0.533u      0.000s      0.617w      8 calls
HF: Form S/X                        :      0.000u      0.000s      0.009w      8 calls
HF: Guess                           :      0.617u      0.000s      0.375w      8 calls
SAD Guess                           :      0.600u      0.000s      0.368w      3 calls
HF: Form G                          :      6.933u      0.017s      4.437w     93 calls
JK: D                               :      0.017u      0.000s      0.015w    109 calls
JK: USO2AO                          :      0.050u      0.000s      0.045w    109 calls
JK: JK                              :     51.650u      0.017s     31.299w    109 calls
DFH: compute_JK()                   :     51.650u      0.017s     31.298w    109 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    109 calls
DFH: compute_J                      :      7.533u      0.000s      4.507w    109 calls
DFH: compute_K                      :     43.933u      0.017s     26.647w    109 calls
JK: AO2USO                          :      0.150u      0.000s      0.040w    109 calls
HF: Form F                          :      0.017u      0.000s      0.003w     93 calls
HF: Form D                          :      0.000u      0.000s      0.002w     93 calls
HF: DIIS                            :      0.400u      0.017s      0.288w     90 calls
DIISManager::add_entry              :      0.100u      0.000s      0.212w     85 calls
DIISManager::extrapolate            :      0.117u      0.017s      0.023w     85 calls
bMatrix setup                       :      0.017u      0.000s      0.010w     85 calls
bMatrix pseudoinverse               :      0.033u      0.000s      0.004w     85 calls
New vector                          :      0.067u      0.017s      0.009w     85 calls
HF: Form C                          :      0.167u      0.017s      0.100w     90 calls
Grad: V T Perturb                   :      2.033u      0.000s      1.207w      7 calls
Grad: S                             :      0.033u      0.000s      0.023w      7 calls
Grad: JK                            :     30.917u      0.333s     19.979w      7 calls
JKGrad: Amn                         :      8.417u      0.150s      5.139w      7 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      7 calls
JKGrad: AB                          :      1.517u      0.050s      0.948w      7 calls
JKGrad: UV                          :      0.283u      0.033s      0.205w      7 calls
JKGrad: ABx                         :      0.433u      0.000s      0.257w      7 calls
JKGrad: Amnx                        :     20.250u      0.100s     12.218w      7 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      2.850u      0.133s      1.778w      1 calls
Hess: T                             :      0.017u      0.000s      0.013w      1 calls
Hess: S                             :      0.000u      0.000s      0.004w      1 calls
Hess: JK                            :    101.800u      0.550s     61.443w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      3.000u      0.017s      1.808w      9 calls
| Libint2ERI::Libint2ERI            :      1.950u      0.017s      1.179w      9 calls
DFH: initialize()                   :     14.050u      0.133s      8.674w      9 calls
| Libint2ERI::Libint2ERI            :      1.933u      0.000s      1.154w     18 calls
| DFH: AO Construction              :      8.117u      0.033s      4.918w      9 calls
| DFH: AO-Met. Contraction          :      2.417u      0.050s      1.476w      9 calls
HF: Form core H                     :      0.533u      0.000s      0.617w      8 calls
HF: Form S/X                        :      0.000u      0.000s      0.009w      8 calls
HF: Guess                           :      0.617u      0.000s      0.375w      8 calls
| SAD Guess                         :      0.600u      0.000s      0.368w      3 calls
HF: Form G                          :      6.933u      0.017s      4.437w     93 calls
| JK: D                             :      0.000u      0.000s      0.003w     93 calls
| JK: USO2AO                        :      0.033u      0.000s      0.019w     93 calls
| JK: JK                            :      6.783u      0.017s      4.380w     93 calls
| | DFH: compute_JK()               :      6.783u      0.017s      4.380w     93 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     93 calls
| | | DFH: compute_J                :      1.150u      0.000s      0.671w     93 calls
| | | DFH: compute_K                :      5.567u      0.017s      3.607w     93 calls
| JK: AO2USO                        :      0.100u      0.000s      0.028w     93 calls
HF: Form F                          :      0.017u      0.000s      0.003w     93 calls
HF: Form D                          :      0.000u      0.000s      0.002w     93 calls
HF: DIIS                            :      0.400u      0.017s      0.288w     90 calls
| DIISManager::add_entry            :      0.100u      0.000s      0.212w     85 calls
| DIISManager::extrapolate          :      0.117u      0.017s      0.023w     85 calls
| | bMatrix setup                   :      0.017u      0.000s      0.010w     85 calls
| | bMatrix pseudoinverse           :      0.033u      0.000s      0.004w     85 calls
| | New vector                      :      0.067u      0.017s      0.009w     85 calls
HF: Form C                          :      0.167u      0.017s      0.100w     90 calls
Grad: V T Perturb                   :      2.033u      0.000s      1.207w      7 calls
Grad: S                             :      0.033u      0.000s      0.023w      7 calls
Grad: JK                            :     30.917u      0.333s     19.979w      7 calls
| JKGrad: Amn                       :      8.417u      0.150s      5.139w      7 calls
| | Libint2ERI::Libint2ERI          :      1.483u      0.000s      0.894w      7 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      7 calls
| JKGrad: AB                        :      1.517u      0.050s      0.948w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      7 calls
| JKGrad: UV                        :      0.283u      0.033s      0.205w      7 calls
| JKGrad: ABx                       :      0.433u      0.000s      0.257w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      7 calls
