Record started: 2021-08-04 20:15:09.826392 (Original fitness from cfg file: 1284.450442507655)
['MDEXEC', 'charmm']
['MDINP', 'Molecules/im1h_clap/im1h.inp']
['MDOUT', '/dev/shm/im1h_clap_opt.log']
['QMOUT', 'Molecules/im1h_clap/im1h_init.log']
['PARAM_FILENAME', 'FF_GenOpt_results/im1h_clap/parameters.str']
['POPULATION_FILENAME', 'FF_GenOpt_results/im1h_clap/lastPopulation_im1h_clap.txt']
['LOG_FILENAME', 'FF_GenOpt_results/im1h_clap/convergence_im1h_clap.log']
['GENERATIONS', '10000']
['POPULATION_SIZE', '10']
['MUTATIONS_PER_GENERATION', '50']
['STEP_SIZE', '0.05']
['CROSSOVER_BLX', '0.7']
['CROSSOVER_SBX', '0.25']
['CROSSOVER_UNIFORM', '0.05']
['MINIMUM_IMPROVEMENT', '0.0001']
['MINIMUM_DIVERSITY', '0.0001']
['PARAMETER', 'im1hb1', 'bond', '0', '1000', '340']
['PARAMETER', 'im1hb2', 'bond', '0', '1000', '519.6525']
['PARAMETER', 'im1hb3', 'bond', '0', '1000', '367']
['PARAMETER', 'im1hb4', 'bond', '0', '1000', '426.7151']
['PARAMETER', 'im1hb5', 'bond', '0', '1000', '367']
['PARAMETER', 'im1hb6', 'bond', '0', '1000', '476.6817']
['PARAMETER', 'im1hb7', 'bond', '0', '1000', '336.7752']
['PARAMETER', 'im1hb8', 'bond', '0', '1000', '474']
['PARAMETER', 'im1ha1', 'angle', '0', '120', '33']
['PARAMETER', 'im1ha2', 'angle', '0', '120', '34.9766']
['PARAMETER', 'im1ha3', 'angle', '0', '120', '69.953']
['PARAMETER', 'im1ha4', 'angle', '0', '120', '69.953']
['PARAMETER', 'im1ha5', 'angle', '0', '120', '69.953']
['PARAMETER', 'im1ha6', 'angle', '0', '120', '35']
['PARAMETER', 'im1ha7', 'angle', '0', '120', '69.953']
['PARAMETER', 'im1ha8', 'angle', '0', '120', '35']
['PARAMETER', 'im1ha9', 'angle', '0', '120', '37.4749']
['PARAMETER', 'im1ha10', 'angle', '0', '120', '34.9766']
['PARAMETER', 'im1ha11', 'angle', '0', '120', '34.9766']
['PARAMETER', 'im1ha12', 'angle', '0', '120', '69.953']
['PARAMETER', 'im1hd1', 'dihedral', '-10', '50', '1.499']
['PARAMETER', 'im1hd2', 'dihedral', '-10', '50', '1.499']
['PARAMETER', 'im1hd3', 'dihedral', '-10', '50', '1.499']
['PARAMETER', 'im1hd4', 'dihedral', '-10', '50', '0.062']
['PARAMETER', 'im1hd5', 'dihedral', '-10', '50', '0']
['PARAMETER', 'im1hd6', 'dihedral', '-10', '50', '5.371']
['PARAMETER', 'im1hd7', 'dihedral', '-10', '50', '5.371']
['PARAMETER', 'im1hd8', 'dihedral', '-10', '50', '1.499']
['PARAMETER', 'im1hd9', 'dihedral', '-10', '50', '1.499']
['PARAMETER', 'im1hd10', 'dihedral', '-10', '50', '1.499']
['PARAMETER', 'im1hd11', 'dihedral', '-10', '50', '2.324']
['PARAMETER', 'im1hd12', 'dihedral', '-10', '50', '2.324']
['PARAMETER', 'im1hd13', 'dihedral', '-10', '50', '2.324']
['PARAMETER', 'im1hd14', 'dihedral', '-10', '50', '5.371']
['PARAMETER', 'im1hd15', 'dihedral', '-10', '50', '2.324']
['PARAMETER', 'im1hd16', 'dihedral', '-10', '50', '2.324']
['PARAMETER', 'im1hd17', 'dihedral', '-10', '50', '2.324']

Gen	BestF	MeanF	TEvals	GEvals	REvals	t	t/eval	Delta	Improv	Divers
1	1026.45	1175.15	127	126	1	37.76	0.30	187.67	1.48	180.77
2	982.64	1033.60	238	236	2	70.64	0.30	43.81	0.18	9.17
3	982.64	1007.09	466	353	113	144.39	0.31	0.00	0.00	22.74
4	911.06	930.22	579	465	114	178.89	0.31	71.58	0.12	0.00
5	911.06	1157.58	816	585	231	253.56	0.31	0.00	0.00	302.47
6	869.60	934.60	930	698	232	287.37	0.31	41.46	0.04	7.20
7	869.60	894.31	1141	808	333	364.98	0.32	0.00	0.00	0.00
8	869.60	1039.93	1371	929	442	445.54	0.32	0.00	0.00	8.61
9	865.84	868.09	1482	1039	443	478.82	0.32	3.76	0.00	0.00
10	865.84	1008.06	1715	1161	554	560.48	0.33	0.00	0.00	0.00
11	865.84	1083.02	1957	1284	673	640.47	0.33	0.00	0.00	15.19
12	865.84	916.90	2179	1402	777	716.12	0.33	0.00	0.00	0.00
13	865.84	1081.33	2421	1528	893	795.33	0.33	0.00	0.00	0.00
14	865.84	968.60	2646	1651	995	878.24	0.33	0.00	0.00	0.00
15	865.84	1102.88	2887	1775	1112	954.96	0.33	0.00	0.00	6.63
16	865.84	903.89	3101	1886	1215	1028.41	0.33	0.00	0.00	138.27
17	857.91	875.68	3211	1995	1216	1062.24	0.33	7.93	0.00	13.43
18	853.73	862.95	3322	2105	1217	1096.75	0.33	4.18	0.00	3.89
19	827.40	848.26	3437	2219	1218	1132.36	0.33	26.34	0.01	4.60
20	827.40	837.99	3647	2328	1319	1199.84	0.33	0.00	0.00	0.00
21	827.40	1042.53	3876	2448	1428	1271.29	0.33	0.00	0.00	0.00
22	827.40	1055.07	4117	2572	1545	1345.02	0.33	0.00	0.00	0.00
23	827.40	1099.20	4357	2694	1663	1420.84	0.33	0.00	0.00	4831.89
24	827.40	925.92	4576	2807	1769	1495.21	0.33	0.00	0.00	0.00
25	827.40	1001.95	4804	2927	1877	1568.04	0.33	0.00	0.00	0.00
26	827.40	1056.72	5037	3049	1988	1641.36	0.33	0.00	0.00	0.00
27	607.57	864.69	5165	3176	1989	1680.13	0.33	219.82	0.04	43890.87
28	607.57	783.43	5381	3291	2090	1753.21	0.33	0.00	0.00	2070.62
29	607.57	783.43	5594	3403	2191	1826.44	0.33	0.00	0.00	84398.63
30	607.57	783.43	5816	3524	2292	1900.79	0.33	0.00	0.00	95605.60
31	607.57	783.43	6027	3634	2393	1969.99	0.33	0.00	0.00	1984.03
32	607.57	783.43	6242	3748	2494	2040.89	0.33	0.00	0.00	969.27
33	607.57	783.43	6451	3855	2596	2111.88	0.33	0.00	0.00	1893.28
34	607.57	783.06	6668	3971	2697	2182.70	0.33	0.00	0.00	43375.03
35	607.57	783.06	6886	4088	2798	2257.77	0.33	0.00	0.00	66449.51
36	607.57	783.06	7104	4205	2899	2333.00	0.33	0.00	0.00	1503.64
37	607.57	783.06	7314	4314	3000	2400.49	0.33	0.00	0.00	404.31
38	607.57	783.06	7530	4429	3101	2471.83	0.33	0.00	0.00	453.71
39	607.57	783.06	7741	4539	3202	2542.19	0.33	0.00	0.00	2493.56
40	607.57	783.06	7958	4654	3304	2612.08	0.33	0.00	0.00	1573.36
41	607.57	780.87	8172	4767	3405	2682.96	0.33	0.00	0.00	855.67
42	607.57	780.87	8388	4882	3506	2754.34	0.33	0.00	0.00	82027.67
43	607.57	778.53	8602	4995	3607	2828.16	0.33	0.00	0.00	698.38
44	607.57	762.08	8813	5105	3708	2898.00	0.33	0.00	0.00	43674.95
