Record started: 2021-08-04 20:16:15.840846 (Original fitness from cfg file: 165.85310592240035)
['MDEXEC', 'charmm']
['MDINP', 'Molecules/im21_clap/im21.inp']
['MDOUT', '/dev/shm/im21_clap_opt.log']
['QMOUT', 'Molecules/im21_clap/im21_freq.log']
['PARAM_FILENAME', 'FF_GenOpt_results/im21_clap/parameters.str']
['POPULATION_FILENAME', 'FF_GenOpt_results/im21_clap/lastPopulation_im21_clap.txt']
['LOG_FILENAME', 'FF_GenOpt_results/im21_clap/convergence_im21_clap.log']
['GENERATIONS', '10000']
['POPULATION_SIZE', '200']
['MUTATIONS_PER_GENERATION', '50']
['STEP_SIZE', '0.05']
['CROSSOVER_BLX', '0.7']
['CROSSOVER_SBX', '0.25']
['CROSSOVER_UNIFORM', '0.05']
['MINIMUM_IMPROVEMENT', '0.0001']
['MINIMUM_DIVERSITY', '0.0001']
['PARAMETER', 'im21b1', 'bond', '0', '1000', '340.0']
['PARAMETER', 'im21b2', 'bond', '0', '1000', '340.0']
['PARAMETER', 'im21b3', 'bond', '0', '1000', '267.8']
['PARAMETER', 'im21b4', 'bond', '0', '1000', '367.0']
['PARAMETER', 'im21b5', 'bond', '0', '1000', '367.0']
['PARAMETER', 'im21b6', 'bond', '0', '1000', '519.7']
['PARAMETER', 'im21b7', 'bond', '0', '1000', '336.8']
['PARAMETER', 'im21b8', 'bond', '0', '1000', '476.7']
['PARAMETER', 'im21b9', 'bond', '0', '1000', '426.7']
['PARAMETER', 'im21a1', 'angle', '0', '100', '33.00']
['PARAMETER', 'im21a2', 'angle', '0', '100', '33.00']
['PARAMETER', 'im21a3', 'angle', '0', '100', '37.47']
['PARAMETER', 'im21a4', 'angle', '0', '100', '37.47']
['PARAMETER', 'im21a5', 'angle', '0', '100', '69.95']
['PARAMETER', 'im21a6', 'angle', '0', '100', '34.98']
['PARAMETER', 'im21a7', 'angle', '0', '100', '69.95']
['PARAMETER', 'im21a8', 'angle', '0', '100', '69.95']
['PARAMETER', 'im21a9', 'angle', '0', '100', '37.47']
['PARAMETER', 'im21a10', 'angle', '0', '100', '34.98']
['PARAMETER', 'im21a11', 'angle', '0', '100', '34.98']
['PARAMETER', 'im21a12', 'angle', '0', '100', '58.31']
['PARAMETER', 'im21a13', 'angle', '0', '100', '69.95']
['PARAMETER', 'im21a14', 'angle', '0', '100', '69.95']
['PARAMETER', 'im21d1', 'dihedral', '-30', '30', '5.97']
['PARAMETER', 'im21d2', 'dihedral', '-30', '30', '0.16']
['PARAMETER', 'im21d3', 'dihedral', '-30', '30', '7.62']
['PARAMETER', 'im21d4', 'dihedral', '-30', '30', '3.97']
['PARAMETER', 'im21d5', 'dihedral', '-30', '30', '0.00']
['PARAMETER', 'im21d6', 'dihedral', '-30', '30', '3.97']
['PARAMETER', 'im21d7', 'dihedral', '-30', '30', '-0.63']
['PARAMETER', 'im21d8', 'dihedral', '-30', '30', '0.06']
['PARAMETER', 'im21d9', 'dihedral', '-30', '30', '7.62']
['PARAMETER', 'im21d10', 'dihedral', '-30', '30', '-0.85']
['PARAMETER', 'im21d11', 'dihedral', '-30', '30', '5.97']
['PARAMETER', 'im21d12', 'dihedral', '-30', '30', '5.97']
['PARAMETER', 'im21d13', 'dihedral', '-30', '30', '3.97']
['PARAMETER', 'im21d14', 'dihedral', '-30', '30', '3.97']
['PARAMETER', 'im21d15', 'dihedral', '-30', '30', '0.00']
['PARAMETER', 'im21d16', 'dihedral', '-30', '30', '7.62']
['PARAMETER', 'im21d17', 'dihedral', '-30', '30', '7.62']
['PARAMETER', 'im21d18', 'dihedral', '-30', '30', '0.73']
['PARAMETER', 'im21d19', 'dihedral', '-30', '30', '0.095']

Gen	BestF	MeanF	TEvals	GEvals	REvals	t	t/eval	Delta	Improv	Divers
1	623.79	959.44	311	310	1	101.36	0.33	26.14	0.08	891.01
2	590.28	881.97	423	421	2	138.55	0.33	33.51	0.08	1412.14
3	520.75	823.54	539	536	3	177.16	0.33	69.53	0.13	1147.63
4	520.75	775.70	779	650	129	254.75	0.33	0.00	0.00	42731.87
5	496.81	712.13	891	761	130	291.68	0.33	23.94	0.03	1085.53
6	447.06	672.09	1001	870	131	327.64	0.33	49.75	0.05	26455.15
7	447.06	636.17	1241	983	258	406.09	0.33	0.00	0.00	32180.57
8	393.32	591.38	1351	1092	259	442.04	0.33	53.74	0.04	442.06
9	360.60	567.52	1467	1207	260	480.13	0.33	32.71	0.02	492.59
10	356.42	544.53	1577	1316	261	516.59	0.33	4.18	0.00	175.03
11	356.42	523.93	1804	1431	373	592.59	0.33	0.00	0.00	180.72
12	348.50	487.66	1917	1543	374	630.59	0.33	7.92	0.00	9928.83
13	299.86	469.37	2031	1656	375	667.95	0.33	48.64	0.02	10341.58
14	299.86	453.41	2258	1767	491	742.64	0.33	0.00	0.00	13797.29
15	299.86	426.19	2492	1880	612	819.68	0.33	0.00	0.00	2282.41
16	299.86	399.26	2729	1998	731	897.43	0.33	0.00	0.00	1231.60
17	292.08	380.36	2839	2107	732	933.93	0.33	7.79	0.00	13837.90
18	292.08	366.84	3073	2222	851	1011.05	0.33	0.00	0.00	373.41
19	290.49	353.98	3189	2337	852	1049.88	0.33	1.59	0.00	5478.98
20	290.49	346.00	3411	2450	961	1122.59	0.33	0.00	0.00	85.46
21	255.57	335.90	3522	2560	962	1158.94	0.33	34.92	0.01	1187.60
22	248.41	330.26	3634	2671	963	1195.96	0.33	7.16	0.00	2699.11
23	248.41	323.59	3864	2786	1078	1271.30	0.33	0.00	0.00	19169.92
24	231.83	313.81	3979	2900	1079	1309.51	0.33	16.58	0.00	109.30
25	231.83	308.70	4206	3010	1196	1382.50	0.33	0.00	0.00	524.97
26	231.83	299.51	4429	3119	1310	1455.11	0.33	0.00	0.00	96.58
27	231.83	290.91	4651	3233	1418	1528.01	0.33	0.00	0.00	56.09
28	142.73	281.50	4764	3345	1419	1565.68	0.33	89.10	0.02	19680.56
29	63.84	273.17	4878	3458	1420	1602.46	0.33	78.88	0.02	1065.35
30	63.84	269.08	5099	3575	1524	1675.16	0.33	0.00	0.00	19431.73
31	63.84	262.69	5313	3685	1628	1745.66	0.33	0.00	0.00	25.59
32	63.84	254.79	5529	3795	1734	1816.81	0.33	0.00	0.00	32.77
33	63.84	249.32	5746	3906	1840	1887.59	0.33	0.00	0.00	125.33
34	63.84	242.12	5968	4020	1948	1961.29	0.33	0.00	0.00	2416.07
35	63.84	234.61	6192	4132	2060	2033.98	0.33	0.00	0.00	657.28
36	63.84	229.25	6411	4243	2168	2106.03	0.33	0.00	0.00	709.55
37	63.84	223.88	6631	4356	2275	2177.24	0.33	0.00	0.00	9900.54
38	63.84	220.36	6847	4467	2380	2248.87	0.33	0.00	0.00	50.34
39	63.84	216.73	7061	4578	2483	2319.44	0.33	0.00	0.00	1298.54
40	63.84	214.47	7280	4689	2591	2391.12	0.33	0.00	0.00	32.34
41	63.84	211.13	7494	4798	2696	2461.43	0.33	0.00	0.00	279.34
42	63.84	207.10	7718	4918	2800	2535.38	0.33	0.00	0.00	41.12
43	63.84	204.59	7931	5030	2901	2604.54	0.33	0.00	0.00	35.84
44	63.84	202.16	8147	5144	3003	2674.74	0.33	0.00	0.00	5237.92
45	63.84	199.55	8365	5255	3110	2747.71	0.33	0.00	0.00	8800.42
46	63.84	197.03	8580	5366	3214	2818.92	0.33	0.00	0.00	211.72
47	63.84	193.95	8789	5473	3316	2887.84	0.33	0.00	0.00	592.44
48	63.84	191.40	9007	5587	3420	2960.10	0.33	0.00	0.00	22.86
