Record started: 2021-08-04 20:15:57.589084 (Original fitness from cfg file: 175.46096400062538)
['MDEXEC', 'charmm']
['MDINP', 'Molecules/oac/oac.inp']
['MDOUT', '/dev/shm/opt.log']
['QMOUT', 'Molecules/oac/oac.log']
['PARAM_FILENAME', 'FF_GenOpt_results/oac/parameters.str']
['POPULATION_FILENAME', 'FF_GenOpt_results/oac/lastPopulation_oac.txt']
['LOG_FILENAME', 'FF_GenOpt_results/oac/convergence_oac.log']
['GENERATIONS', '10000']
['POPULATION_SIZE', '200']
['MUTATIONS_PER_GENERATION', '50']
['STEP_SIZE', '0.05']
['CROSSOVER_BLX', '0.7']
['CROSSOVER_SBX', '0.25']
['CROSSOVER_UNIFORM', '0.05']
['MINIMUM_IMPROVEMENT', '0.0001']
['MINIMUM_DIVERSITY', '0.0001']
['PARAMETER', 'oacb1', 'bond', '0', '600', '340']
['PARAMETER', 'oacb2', 'bond', '0', '600', '655.5162']
['PARAMETER', 'oacb3', 'bond', '0', '600', '316.83']
['PARAMETER', 'oaca1', 'angle', '0', '200', '33.0']
['PARAMETER', 'oaca2', 'angle', '0', '200', '79.9417']
['PARAMETER', 'oaca3', 'angle', '0', '200', '70.0']
['PARAMETER', 'oaca4', 'angle', '0', '200', '35.7']
['PARAMETER', 'oacd1', 'dihedral', '0', '30', '0.0']
['PARAMETER', 'oaci1', 'improper', '0', '200', '71.000']

Gen	BestF	MeanF	TEvals	GEvals	REvals	t	t/eval	Delta	Improv	Divers
1	313.26	783.70	308	307	1	133.83	0.43	0.00	0.00	5094.19
2	313.26	649.05	656	420	236	296.44	0.45	0.00	0.00	6054.90
3	274.54	516.62	766	529	237	347.13	0.45	38.72	0.05	9736.49
4	208.36	430.10	884	646	238	404.10	0.46	66.18	0.07	11279.64
5	145.25	371.40	997	758	239	459.49	0.46	63.11	0.06	9928.75
6	145.25	338.97	1294	866	428	606.45	0.47	0.00	0.00	3868.48
7	105.62	282.12	1404	975	429	662.79	0.47	39.62	0.03	207.23
8	105.62	250.55	1722	1087	635	828.25	0.48	0.00	0.00	11912.86
9	102.66	210.65	1833	1197	636	883.89	0.48	2.97	0.00	910.92
10	87.16	190.61	1945	1308	637	941.45	0.48	15.50	0.01	23493.39
11	87.16	173.06	2223	1424	799	1088.62	0.49	0.00	0.00	9131.60
12	87.16	152.35	2479	1537	942	1225.69	0.49	0.00	0.00	1267.11
13	72.91	135.30	2589	1646	943	1283.91	0.50	14.24	0.01	1138.47
14	62.59	124.52	2704	1760	944	1345.86	0.50	10.33	0.00	4156.59
15	60.93	115.29	2816	1871	945	1408.14	0.50	1.66	0.00	171.96
16	56.92	107.09	2926	1980	946	1467.49	0.50	4.01	0.00	9312.85
17	51.01	98.97	3038	2091	947	1527.93	0.50	5.91	0.00	46.88
18	51.01	90.65	3273	2204	1069	1657.42	0.51	0.00	0.00	469.35
19	47.90	81.17	3382	2312	1070	1715.81	0.51	3.12	0.00	312.92
