Record started: 2021-08-04 20:16:12.616402 (Original fitness from cfg file: 147.61839898198153)
['MDEXEC', 'charmm']
['MDINP', 'Molecules/oac_clap/oac.inp']
['MDOUT', '/dev/shm/oac_clap_opt.log']
['QMOUT', 'Molecules/oac_clap/oac.log']
['PARAM_FILENAME', 'FF_GenOpt_results/oac_clap/parameters.str']
['POPULATION_FILENAME', 'FF_GenOpt_results/oac_clap/lastPopulation_oac_clap.txt']
['LOG_FILENAME', 'FF_GenOpt_results/oac_clap/convergence_oac_clap.log']
['GENERATIONS', '10000']
['POPULATION_SIZE', '200']
['MUTATIONS_PER_GENERATION', '50']
['STEP_SIZE', '0.05']
['CROSSOVER_BLX', '0.7']
['CROSSOVER_SBX', '0.25']
['CROSSOVER_UNIFORM', '0.05']
['MINIMUM_IMPROVEMENT', '0.0001']
['MINIMUM_DIVERSITY', '0.0001']
['PARAMETER', 'oacb1', 'bond', '0', '1000', '340']
['PARAMETER', 'oacb2', 'bond', '0', '1000', '655.5162']
['PARAMETER', 'oacb3', 'bond', '0', '1000', '316.83']
['PARAMETER', 'oaca1', 'angle', '0', '180', '33.0']
['PARAMETER', 'oaca2', 'angle', '0', '180', '79.9417']
['PARAMETER', 'oaca3', 'angle', '0', '180', '70.0']
['PARAMETER', 'oaca4', 'angle', '0', '180', '35.7']
['PARAMETER', 'oacd1', 'dihedral', '-30', '30', '0.0']

Gen	BestF	MeanF	TEvals	GEvals	REvals	t	t/eval	Delta	Improv	Divers
1	306.81	702.33	316	315	1	91.16	0.29	0.00	0.00	41608.04
2	234.07	596.69	428	426	2	123.20	0.29	72.74	0.17	119484.37
3	234.07	509.71	735	532	203	212.20	0.29	0.00	0.00	47103.87
4	199.26	406.96	850	646	204	246.31	0.29	34.81	0.04	2448.26
5	184.15	363.10	961	756	205	278.21	0.29	15.11	0.02	2654.74
6	177.42	325.80	1076	870	206	311.52	0.29	6.73	0.01	27354.31
7	145.72	291.53	1189	982	207	345.37	0.29	31.70	0.03	28553.11
8	116.80	260.16	1307	1099	208	379.31	0.29	28.92	0.02	23176.75
9	116.80	233.21	1562	1217	345	454.02	0.29	0.00	0.00	2857.08
10	99.13	210.68	1671	1325	346	485.58	0.29	17.67	0.01	19562.91
11	99.13	199.06	1945	1439	506	566.71	0.29	0.00	0.00	9871.16
12	78.51	176.47	2061	1554	507	600.29	0.29	20.62	0.01	5473.22
13	78.51	166.36	2303	1668	635	670.77	0.29	0.00	0.00	511.44
14	78.51	151.82	2549	1776	773	742.92	0.29	0.00	0.00	371.66
15	78.51	136.26	2784	1887	897	813.04	0.29	0.00	0.00	707.01
16	78.51	121.39	3030	1999	1031	885.24	0.29	0.00	0.00	40.53
17	67.57	108.77	3151	2119	1032	920.74	0.29	10.95	0.00	109.57
18	67.57	101.62	3399	2232	1167	992.83	0.29	0.00	0.00	389.82
19	63.49	93.36	3514	2346	1168	1026.21	0.29	4.07	0.00	1697.12
20	63.49	89.58	3770	2454	1316	1101.68	0.29	0.00	0.00	352.64
21	63.13	84.14	3881	2564	1317	1133.44	0.29	0.36	0.00	1304.84
22	60.11	80.53	3988	2670	1318	1165.22	0.29	3.02	0.00	91.63
23	60.11	77.46	4214	2779	1435	1231.73	0.29	0.00	0.00	957.76
24	57.81	73.62	4327	2891	1436	1265.13	0.29	2.31	0.00	29.60
25	57.81	70.61	4552	3006	1546	1331.25	0.29	0.00	0.00	103.78
26	57.81	67.74	4779	3118	1661	1397.85	0.29	0.00	0.00	317.58
27	54.81	65.65	4891	3229	1662	1430.57	0.29	3.00	0.00	72.47
28	54.81	63.75	5123	3346	1777	1499.85	0.29	0.00	0.00	224.57
29	54.51	62.33	5239	3461	1778	1534.09	0.29	0.30	0.00	532.84
30	52.71	61.30	5352	3573	1779	1567.42	0.29	1.80	0.00	125.56
31	52.71	60.48	5566	3686	1880	1629.87	0.29	0.00	0.00	177.80
