Record started: 2021-08-04 20:16:00.335245 (Original fitness from cfg file: 144.5798283399431)
['MDEXEC', 'charmm']
['MDINP', 'Molecules/otf_clap/otf.inp']
['MDOUT', '/dev/shm/otf_clap_opt.log']
['QMOUT', 'Molecules/otf_clap/otf.log']
['PARAM_FILENAME', 'FF_GenOpt_results/otf_clap/parameters.str']
['POPULATION_FILENAME', 'FF_GenOpt_results/otf_clap/lastPopulation_otf_clap.txt']
['LOG_FILENAME', 'FF_GenOpt_results/otf_clap/convergence_otf_clap.log']
['GENERATIONS', '10000']
['POPULATION_SIZE', '200']
['MUTATIONS_PER_GENERATION', '50']
['STEP_SIZE', '0.05']
['CROSSOVER_BLX', '0.7']
['CROSSOVER_SBX', '0.25']
['CROSSOVER_UNIFORM', '0.05']
['MINIMUM_IMPROVEMENT', '0.0001']
['MINIMUM_DIVERSITY', '0.0001']
['PARAMETER', 'otfb1', 'bond', '0', '1000', '441.6']
['PARAMETER', 'otfb2', 'bond', '0', '1000', '232.9']
['PARAMETER', 'otfb3', 'bond', '0', '1000', '636.6']
['PARAMETER', 'otfa1', 'angle', '0', '200', '103.90']
['PARAMETER', 'otfa2', 'angle', '0', '200', '115.72']
['PARAMETER', 'otfa3', 'angle', '0', '200', '93.27']
['PARAMETER', 'otfa4', 'angle', '0', '200', '82.88']
['PARAMETER', 'otfd1', 'dihedral', '-20', '20', '0.173']

Gen	BestF	MeanF	TEvals	GEvals	REvals	t	t/eval	Delta	Improv	Divers
1	88.67	237.50	318	317	1	91.02	0.29	0.00	0.00	15245.61
2	73.13	202.15	436	434	2	124.82	0.29	15.54	0.04	31022.71
3	73.13	179.53	739	549	190	216.26	0.29	0.00	0.00	6152.62
4	52.40	147.50	853	662	191	249.82	0.29	20.73	0.02	13470.53
5	52.40	130.42	1149	778	371	336.17	0.29	0.00	0.00	8255.58
6	52.40	107.13	1438	897	541	420.90	0.29	0.00	0.00	2829.15
7	52.32	90.71	1548	1006	542	453.98	0.29	0.08	0.00	4287.56
8	52.32	82.26	1813	1120	693	531.46	0.29	0.00	0.00	638.12
9	52.32	72.67	2062	1231	831	605.11	0.29	0.00	0.00	947.59
10	52.29	66.39	2172	1340	832	637.85	0.29	0.02	0.00	1469.15
11	51.26	63.23	2293	1460	833	673.86	0.29	1.03	0.00	2274.59
12	49.49	60.60	2413	1579	834	709.49	0.29	1.77	0.00	718.10
13	47.31	58.75	2523	1688	835	741.39	0.29	2.18	0.00	163.46
14	45.54	57.23	2635	1799	836	774.52	0.29	1.77	0.00	789.46
15	45.48	55.90	2748	1911	837	808.00	0.29	0.05	0.00	150.27
16	44.39	54.60	2863	2025	838	841.61	0.29	1.10	0.00	377.65
17	43.24	53.31	2976	2137	839	875.66	0.29	1.14	0.00	161.69
18	43.24	52.10	3202	2251	951	942.35	0.29	0.00	0.00	191.74
19	43.24	50.42	3423	2363	1060	1007.83	0.29	0.00	0.00	296.25
20	43.24	49.06	3636	2471	1165	1070.82	0.29	0.00	0.00	197.08
21	43.24	47.87	3853	2584	1269	1134.83	0.29	0.00	0.00	109.04
22	42.97	46.64	3965	2695	1270	1167.53	0.29	0.28	0.00	239.53
23	42.59	45.83	4079	2808	1271	1201.63	0.29	0.38	0.00	388.08
24	41.32	45.31	4190	2918	1272	1235.01	0.29	1.26	0.00	79.42
25	41.32	44.94	4406	3026	1380	1298.70	0.29	0.00	0.00	97.99
26	41.32	44.42	4619	3131	1488	1361.18	0.29	0.00	0.00	21.93
27	41.31	43.83	4733	3244	1489	1394.56	0.29	0.01	0.00	48.73
